figure,Figure 5-B-3
figureTitle,Snow Fencing Production .................................................................................................... 5-B-3
division,02
divisionName,Existing Conditions
sourcePage,5-B-3
sourcePdfPage,11

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"02 41 19.27\nSelective Demolition, Torch Cutting\n(0010) Steel, 1-inch-thick plate\n(0020) 1-inch-diameter bar\nOxygen lance cutting, reinforced concrete walls,\n(0030) 12- to 16-inch-thick walls",LF\nEach\nLF,0.030\n0.050\n1.064
"Crew sizes are dictated by safety, scope of the project, weight, and bulk of materiels handled.",,
"Notes:\n1. Work includes removal of item and stacking or piling onsite for removal at ground level.\n2. Second floor or upper story work includes dumping into rubbish chutes.\n3. Concrete demolition is figured on using pneumatic tools with average crew of two tool operators and\nthree to five laborers.\n4. Work includes salvage of materiels (e.g., cleaning and pulling nails).",,
"02 58 13.10\nSnow Fencing System\n(0010) Snow fence on steel posts 10 feet on center, 4 feet high",LF,0.064
